GISJOIN,STUSAB,STATE,STATEA,Population
G010,AL,Alabama,1,4893186
G020,AK,Alaska,2,736990
G040,AZ,Arizona,4,7174064
G050,AR,Arkansas,5,3011873
G060,CA,California,6,39346023
G080,CO,Colorado,8,5684926
G090,CT,Connecticut,9,3570549
G100,DE,Delaware,10,967679
G110,DC,District of Columbia,11,701974
G120,FL,Florida,12,21216924
G130,GA,Georgia,13,10516579
G150,HI,Hawaii,15,1420074
G160,ID,Idaho,16,1754367
G170,IL,Illinois,17,12716164
G180,IN,Indiana,18,6696893
G190,IA,Iowa,19,3150011
G200,KS,Kansas,20,2912619
G210,KY,Kentucky,21,4461952
G220,LA,Louisiana,22,4664616
G230,ME,Maine,23,1340825
G240,MD,Maryland,24,6037624
G250,MA,Massachusetts,25,6873003
G260,MI,Michigan,26,9973907
G270,MN,Minnesota,27,5600166
G280,MS,Mississippi,28,2981835
G290,MO,Missouri,29,6124160
G300,MT,Montana,30,1061705
G310,NE,Nebraska,31,1923826
G320,NV,Nevada,32,3030281
G330,NH,New Hampshire,33,1355244
G340,NJ,New Jersey,34,8885418
G350,NM,New Mexico,35,2097021
G360,NY,New York,36,19514849
G370,NC,North Carolina,37,10386227
G380,ND,North Dakota,38,760394
G390,OH,Ohio,39,11675275
G400,OK,Oklahoma,40,3949342
G410,OR,Oregon,41,4176346
G420,PA,Pennsylvania,42,12794885
G440,RI,Rhode Island,44,1057798
G450,SC,South Carolina,45,5091517
G460,SD,South Dakota,46,879336
G470,TN,Tennessee,47,6772268
G480,TX,Texas,48,28635442
G490,UT,Utah,49,3151239
G500,VT,Vermont,50,624340
G510,VA,Virginia,51,8509358
G530,WA,Washington,53,7512465
G540,WV,West Virginia,54,1807426
G550,WI,Wisconsin,55,5806975
G560,WY,Wyoming,56,581348
G720,PR,Puerto Rico,72,3255642
